                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5458,                 4.1646,                 1.7177,                0.00349,                0.06864,                0.00936,                0.00239,                 2.2547,                 7.6751,                 1.0463,             0.00036406,             0.00036406,             0.00036406
                      2,                 2.2944,                 2.9304,                 1.5609,                 0.7641,                0.01561,                0.01274,                0.00345,                  2.254,                 5.6692,                 1.1086,             0.00072712,             0.00072712,             0.00072712
                      3,                 2.1535,                 2.5924,                 1.5401,                0.15227,                0.02617,                0.02074,                0.00753,                 2.3328,                 4.4045,                 1.1199,              0.0010828,              0.0010828,              0.0010828
                      4,                 2.0996,                 2.4441,                 1.4499,                0.18234,                0.02495,                0.02382,                0.00986,                 2.1892,                 4.0264,                 1.1001,               0.001078,               0.001078,               0.001078
                      5,                  2.123,                 2.1124,                  1.473,                0.09446,                0.02055,                0.01619,                0.00729,                  2.079,                 4.0476,                 1.0215,               0.001067,               0.001067,               0.001067
                      6,                 2.0833,                 1.9935,                 1.4221,                0.35483,                0.02141,                0.01781,                0.00692,                 2.0738,                  3.566,                 1.0032,               0.001056,               0.001056,               0.001056
                      7,                 1.9863,                 1.8268,                 1.3992,                0.39701,                0.02599,                0.02362,                 0.0101,                 2.0088,                 3.5289,                 1.0262,               0.001045,               0.001045,               0.001045
                      8,                 1.9673,                  1.706,                 1.3541,                0.12217,                0.01983,                0.01645,                0.00642,                 1.9918,                 3.4884,                0.99638,               0.001034,               0.001034,               0.001034
                      9,                 1.9795,                  1.671,                 1.3492,                0.32915,                0.02311,                0.01954,                0.00861,                 1.9755,                 3.1094,                0.97431,               0.001023,               0.001023,               0.001023
                     10,                 1.9432,                 1.6189,                 1.3209,                0.36519,                0.01988,                0.02376,                0.01004,                 1.9684,                 3.2771,                0.96913,               0.001012,               0.001012,               0.001012
                     11,                 1.9239,                 1.5302,                 1.3214,                0.46524,                0.02763,                0.02919,                0.01409,                 1.8885,                 2.9053,                 0.9337,               0.001001,               0.001001,               0.001001
                     12,                 1.8962,                 1.4963,                 1.3095,                0.52631,                0.03584,                0.03543,                0.01689,                 1.8717,                 2.8601,                0.94509,             0.00099001,             0.00099001,             0.00099001
                     13,                 1.8573,                  1.432,                 1.2819,                 0.2295,                0.02105,                0.02127,                0.00803,                 1.9624,                 2.7559,                 0.9556,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.8464,                 1.4008,                 1.2818,                0.57319,                0.02216,                0.03729,                0.01552,                 1.8719,                 2.7299,                0.94112,             0.00096801,             0.00096801,             0.00096801
                     15,                 1.8771,                 1.4254,                 1.2967,                0.40393,                0.02332,                0.02667,                0.01194,                 1.8978,                 2.6376,                0.93605,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.8403,                 1.3471,                 1.2744,                0.46484,                0.03024,                0.03417,                0.01661,                 1.8719,                 2.5222,                0.92178,             0.00094602,             0.00094602,             0.00094602
                     17,                 1.8329,                 1.2968,                  1.279,                0.40878,                0.02665,                0.03613,                0.01662,                 1.9388,                 2.6728,                0.94385,             0.00093502,             0.00093502,             0.00093502
                     18,                 1.8159,                  1.354,                 1.2705,                0.16037,                0.02404,                 0.0253,                0.00925,                 1.9112,                 2.7699,                0.94587,             0.00092402,             0.00092402,             0.00092402
                     19,                 1.8055,                 1.2702,                 1.2653,                0.41611,                0.03029,                0.03452,                 0.0154,                  1.817,                 2.5516,                0.90436,             0.00091302,             0.00091302,             0.00091302
                     20,                 1.7241,                 1.2724,                 1.2127,                0.44619,                 0.0267,                0.02965,                0.01542,                 1.9349,                 2.5826,                0.96522,             0.00090202,             0.00090202,             0.00090202
                     21,                 1.7759,                 1.2293,                 1.2498,                0.20487,                 0.0322,                0.03534,                0.01548,                 1.8294,                 2.4824,                0.91092,             0.00089102,             0.00089102,             0.00089102
                     22,                 1.7556,                 1.2219,                 1.2291,                0.17512,                0.03569,                 0.0389,                0.01851,                 1.8574,                 2.5917,                0.92092,             0.00088002,             0.00088002,             0.00088002
                     23,                 1.7456,                  1.204,                 1.2253,                 0.4034,                0.03029,                0.03571,                 0.0169,                 1.8997,                  2.469,                0.94186,             0.00086902,             0.00086902,             0.00086902
                     24,                 1.7666,                 1.1672,                 1.2213,                0.45724,                0.03823,                0.05105,                 0.0231,                  1.918,                 2.3478,                0.93084,             0.00085803,             0.00085803,             0.00085803
                     25,                 1.7175,                 1.1384,                 1.2152,                0.45185,                0.03308,                0.04344,                0.01962,                 1.8624,                 2.3024,                0.89844,             0.00084703,             0.00084703,             0.00084703
                     26,                  1.715,                 1.1456,                 1.2242,                0.46547,                0.03841,                0.04123,                0.01809,                 1.7866,                 2.2475,                0.87855,             0.00083603,             0.00083603,             0.00083603
                     27,                 1.7393,                 1.1384,                 1.2111,                0.45045,                0.03209,                0.04615,                0.01972,                 1.8905,                 2.3496,                0.92354,             0.00082503,             0.00082503,             0.00082503
                     28,                 1.6953,                 1.1201,                 1.2073,                0.70399,                0.04201,                 0.0592,                0.02848,                 1.8366,                 2.2481,                0.90114,             0.00081403,             0.00081403,             0.00081403
                     29,                 1.6864,                 1.1077,                 1.1819,                0.25075,                   0.03,                0.04075,                0.01493,                 1.7894,                  2.223,                0.88277,             0.00080303,             0.00080303,             0.00080303
                     30,                 1.6917,                 1.0741,                 1.1769,                 0.6957,                 0.0376,                0.05499,                0.02889,                 1.8038,                 2.2368,                0.88575,             0.00079203,             0.00079203,             0.00079203
                     31,                 1.7028,                 1.0712,                 1.2012,                0.25887,                0.03913,                  0.048,                0.02109,                  1.862,                 2.2579,                0.90592,             0.00078103,             0.00078103,             0.00078103
                     32,                 1.6804,                 1.0665,                 1.1733,                0.34008,                0.04715,                0.05639,                0.02486,                 1.7909,                 2.1627,                0.87885,             0.00077003,             0.00077003,             0.00077003
                     33,                 1.6505,                 1.0412,                 1.1703,                0.37582,                0.04366,                0.05577,                0.03032,                 1.7961,                 2.1435,                0.88989,             0.00075904,             0.00075904,             0.00075904
                     34,                 1.6312,                 1.0342,                 1.1704,                0.70049,                0.06424,                0.08278,                0.03624,                 1.8647,                 2.1976,                0.91156,             0.00074804,             0.00074804,             0.00074804
                     35,                 1.6505,                 1.0357,                 1.1695,                0.32553,                0.04269,                0.04907,                0.02288,                 1.8442,                 2.1953,                0.90064,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.6453,                 1.0347,                  1.171,                0.32686,                 0.0417,                 0.0513,                0.02404,                 1.8137,                  2.359,                0.89631,             0.00072604,             0.00072604,             0.00072604
                     37,                  1.659,                 1.0526,                 1.1812,                0.33462,                0.05151,                0.07506,                0.03259,                 1.8885,                  2.242,                0.91941,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.6036,                0.99932,                 1.1641,                 0.3528,                0.05288,                0.06575,                0.02959,                 1.8134,                 2.1062,                0.88462,             0.00070404,             0.00070404,             0.00070404
                     39,                 1.6202,                0.98894,                 1.1476,                0.47037,                0.07858,                0.09329,                0.04263,                 1.8144,                 2.0502,                 0.8904,             0.00069304,             0.00069304,             0.00069304
